Agrupación Política,Lista,Cargo,Género
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,Masculino
PARTIDO LIBERTARIO,UNIDAD Y COMPROMISO,DIPUTADOS NACIONALES,Masculino
UNION POR LA PATRIA,CELESTE Y BLANCA,DIPUTADOS NACIONALES,Femenino
JUNTOS POR ENTRE RIOS,AHORA ENTRE RíOS,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,LA LIBERTAD POR SIEMPRE,DIPUTADOS NACIONALES,Masculino
MAS PARA ENTRE RIOS,2 MAS PARA ENTRE RIOS,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Masculino
NUEVA IZQUIERDA,1A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO,#PODES CONFIAR ESTAMOS CON VOS,DIPUTADOS NACIONALES,Femenino
JUNTOS POR EL CAMBIO,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,DIPUTADOS NACIONALES,Masculino
LA NUEVA INDEPENDENCIA,MILITANTES AMIGOS,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR,AZUL Y ROJO,DIPUTADOS NACIONALES,Femenino
UNION POR LA PATRIA,"LISTA 2 CELESTE, BLANCA Y AZUL",DIPUTADOS NACIONALES,Femenino
CAMBIA JUJUY,LISTA A SIGAMOS CAMBIANDO JUJUY,DIPUTADOS NACIONALES,Masculino
CAMBIA JUJUY,LISTA B LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Femenino
CAMBIA JUJUY,LISTA C UNIR AL CAMBIO,DIPUTADOS NACIONALES,Masculino
FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,A UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Femenino
