,code,nombre,candidatos,votos,perc,percAbs,mapa_scopes_scopeId,mapa_scopes_name,mapa_scopes_partidos_name,mapa_scopes_partidos_code
90,3019,A- AZUL Y ROJO,"['JESUS ARNALDO ESCOBAR', 'MARIANELLA LEZAMA HID']",1926.0,100.0,0.61,000000000000000000000048,Chubut,MOVIMIENTO LIBRES DEL SUR,40
91,3020,A- UNIDAD OBRERA,"['MARCELO ARMANDO RAMAL', 'PATRICIA URONES']",1367.0,100.0,0.43,000000000000000000000048,Chubut,POLITICA OBRERA,92
92,3027,B- CONFEDERAL,"['GABRIEL SANTIAGO CÚNEO', 'GUSTAVO BARRANCO']",1022.0,88.86,0.32,000000000000000000000048,Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
93,3026,A- DIGNIDAD,"['RAUL ANIBAL CASTELLS', 'ADRIANA REINOSO']",128.0,11.13,0.04,000000000000000000000048,Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,90
94,3021,A- PRIMERO LA PATRIA,"['ALEJANDRO CESAR BIONDINI', 'MARIEL AVENDAÑO']",905.0,100.0,0.28,000000000000000000000048,Chubut,FRENTE PATRIOTA FEDERAL,95
95,3025,A- COMPROMISO VECINAL,"['RAUL HUMBERTO ALBARRACIN', 'SERGIO PASTORE']",819.0,100.0,0.26,000000000000000000000048,Chubut,MOVIMIENTO DE ACCION VECINAL,57
96,3004,C- ANTICORRUPCIÓN,"['JULIO DONATO BARBARO', 'RAMONA PUCHETA']",90.0,56.6,0.02,000000000000000000000048,Chubut,FRENTE LIBER.AR,131
97,3003,B- RECONQUISTA,"['RAMIRO EDUARDO VASENA', 'VICTOR LAGONEGRO']",63.0,39.62,0.02,000000000000000000000048,Chubut,FRENTE LIBER.AR,131
98,3002,A- DEMOS,"['NAZARENO GABRIEL ETCHEPARE', 'FERNANDO LORENZO']",6.0,3.77,0.01,000000000000000000000048,Chubut,FRENTE LIBER.AR,131
99,3018,A- APERTURA LIBERAL ARGENTINA,"['ANDRES GABRIEL PASSAMONTI', 'PAMELA FERNANDEZ']",96.0,100.0,0.03,000000000000000000000048,Chubut,UNION DEL CENTRO DEMOCRATICO,20
100,3022,A- COALICION PAZ DEMOCRACIA SOBERANIA,"['OSCAR ALFREDO RAMON GIARDINELLI', 'BARBARA MARA SOLERNOU GALLARDO']",27.0,36.0,0.01,000000000000000000000048,Chubut,PROYECTO JOVEN,94
101,3023,B- PATRIA UNIDA,"['MARTIN MIGUEL AYERBE ORTIZ', 'HUGO MAURICIO EZEQUIEL RODRIGUEZ']",26.0,34.66,0.01,000000000000000000000048,Chubut,PROYECTO JOVEN,94
102,3024,C- TODEX,"['REINA XIOMARA IBAÑEZ', 'GONZALO RODRIGO IBARRA']",22.0,29.33,0.01,000000000000000000000048,Chubut,PROYECTO JOVEN,94
103,3008,B- LA FUERZA DEL CAMBIO,"['PATRICIA BULLRICH', 'LUIS PETRI']",476010.0,58.53,28.28,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,132
104,3007,A- EL CAMBIO DE NUESTRAS VIDAS,"['HORACIO ANTONIO RODRIGUEZ LARRETA', 'GERARDO MORALES']",337254.0,41.46,20.03,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,132
105,3005,A- CELESTE Y BLANCA,"['SERGIO TOMAS MASSA', 'AGUSTIN ROSSI']",276942.0,69.74,16.45,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,134
106,3006,B- JUSTA Y SOBERANA,"['JUAN GRABOIS', 'PAULA ABAL MEDINA']",120112.0,30.25,7.13,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,134
107,3016,A- LIBERTAD POR SIEMPRE,"['JAVIER GERARDO MILEI', 'VICTORIA VILLARRUEL']",299097.0,100.0,17.77,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,135
108,3009,A- UNIR Y FORTALECER LA IZQUIERDA,"['MYRIAM TERESA BREGMAN', 'NICOLAS DEL CAÑO']",62254.0,79.79,3.69,00000000000000000000000c,Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,136
