Agrupación Política,Lista,Distrito,Cargo,Subcategoría Cargo,Posición,Precandidato,Género,Edad
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,13,ALEJANDRO SERGIO AGUILAR,M,48
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,14,NATALIA LORELEY BRITEZ,F,28
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,15,MARTIN ALEJANDRO TAVERNA,M,46
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,16,ANALIA VERONICA BRAMUEL,F,49
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,17,DANIEL ALEJANDRO OCAMPOS,M,44
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,18,YAMILA SOLEDAD SUNSUNDEGUY,F,30
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,19,BRIAN LEONEL ALEJANDRO GOITIA,M,30
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,20,VIRGINIA PAOLA GALLARDO,F,41
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,21,MARCELO GABRIEL SOSA,M,48
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,22,NATALIA ABIGAIL ACUÑA,F,39
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,23,CLAUDIO ADAN MENDOZA,M,35
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,24,CARLA LILIAN GALLARDO,F,37
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,25,GERARDO ESTEBAN CUFRE,M,35
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,26,MARÍA CECILIA RAMÍREZ,F,29
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,27,ENZO FERNANDO SUNSUNDEGUY,M,26
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,28,MARIA DEL CARMEN DIAZ,F,53
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,29,ANDRES AVELINO CURIMA,M,65
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,30,MARIA NATALIA GOMEZ,F,29
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,31,JORGE LUIS MONZON,M,37
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,32,GISELA VANESA SANTILLAN,F,43
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,33,JONATHAN EDUARDO JARA,M,35
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,34,CINTIA PAOLA ARMOA,F,39
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,TITULARES,35,ENZO NICOLAS RODRIGUEZ,M,28
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,1,CLAUDIA SUSANA ROMERO,F,51
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,2,LEOPOLDO MIGLIORANZA,M,53
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,3,VERONICA OFELIA LOPEZ,F,36
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,4,CARLOS DARIO RAMIREZ,M,52
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,5,NANCY MABEL DIAZ,F,45
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,6,JONATAN GABRIEL BALCAZA,M,32
CONSTRUYENDO PORVENIR,CONSTRUYENDO FUTURO,BUENOS AIRES,DIPUTADOS NACIONALES,SUPLENTES,7,MARIA LAURA ROMERO,F,49
