,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido
104,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,337254,41.46,20.03,Capital Federal,JUNTOS POR EL CAMBIO
105,A- CELESTE Y BLANCA,MASSA-ROSSI,276942,69.74,16.45,Capital Federal,UNION POR LA PATRIA
106,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,120112,30.25,7.13,Capital Federal,UNION POR LA PATRIA
107,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,299097,100.0,17.77,Capital Federal,LA LIBERTAD AVANZA
108,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,62254,79.79,3.69,Capital Federal,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
109,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,15760,20.2,0.93,Capital Federal,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
110,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,22233,100.0,1.32,Capital Federal,PRINCIPIOS Y VALORES
111,A- HACEMOS,SCHIARETTI-RANDAZZO,15886,100.0,0.94,Capital Federal,HACEMOS POR NUESTRO PAIS
112,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,7198,100.0,0.42,Capital Federal,MOVIMIENTO AL SOCIALISMO
113,B- CONFEDERAL,CÚNEO-BARRANCO,4937,79.8,0.29,Capital Federal,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
114,A- DIGNIDAD,CASTELLS-REINOSO,1249,20.19,0.07,Capital Federal,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
115,A- UNIDAD OBRERA,RAMAL-URONES,4454,100.0,0.26,Capital Federal,POLITICA OBRERA
116,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,3754,100.0,0.22,Capital Federal,MOVIMIENTO LIBRES DEL SUR
117,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,2715,100.0,0.16,Capital Federal,FRENTE PATRIOTA FEDERAL
118,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,2691,100.0,0.15,Capital Federal,MOVIMIENTO DE ACCION VECINAL
119,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,2230,100.0,0.13,Capital Federal,UNION DEL CENTRO DEMOCRATICO
120,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,105,62.87,0.01,Capital Federal,FRENTE LIBER.AR
121,A- DEMOS,ETCHEPARE-LORENZO,41,24.55,0.01,Capital Federal,FRENTE LIBER.AR
122,B- RECONQUISTA,VASENA-LAGONEGRO,21,12.57,0.01,Capital Federal,FRENTE LIBER.AR
123,C- TODEX,IBAÑEZ-IBARRA,23,37.7,0.01,Capital Federal,PROYECTO JOVEN
124,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,20,32.78,0.01,Capital Federal,PROYECTO JOVEN
125,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,18,29.5,0.01,Capital Federal,PROYECTO JOVEN
126,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,145964,68.49,23.48,Corrientes,JUNTOS POR EL CAMBIO
127,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,67140,31.5,10.8,Corrientes,JUNTOS POR EL CAMBIO
128,A- CELESTE Y BLANCA,MASSA-ROSSI,161865,88.61,26.03,Corrientes,UNION POR LA PATRIA
129,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,20793,11.38,3.34,Corrientes,UNION POR LA PATRIA
130,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,181456,100.0,29.18,Corrientes,LA LIBERTAD AVANZA
131,A- HACEMOS,SCHIARETTI-RANDAZZO,8929,100.0,1.43,Corrientes,HACEMOS POR NUESTRO PAIS
132,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,3836,63.35,0.61,Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
133,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,2219,36.64,0.35,Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
134,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,3770,100.0,0.6,Corrientes,MOVIMIENTO LIBRES DEL SUR
135,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,3189,97.04,0.51,Corrientes,PRINCIPIOS Y VALORES
136,2B- TRANSFORMAR,MARTINEZ-SOUTO,53,1.61,0.01,Corrientes,PRINCIPIOS Y VALORES
137,3C- TRES BANDERAS,OLIVER-SAN MARTIN,17,0.51,0.01,Corrientes,PRINCIPIOS Y VALORES
138,5E- LABORISTA,ARIAS-VERA,14,0.42,0.01,Corrientes,PRINCIPIOS Y VALORES
139,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,13,0.39,0.01,Corrientes,PRINCIPIOS Y VALORES
140,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,2686,100.0,0.43,Corrientes,MOVIMIENTO AL SOCIALISMO
141,B- CONFEDERAL,CÚNEO-BARRANCO,1169,56.01,0.18,Corrientes,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
142,A- DIGNIDAD,CASTELLS-REINOSO,918,43.98,0.14,Corrientes,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
143,A- UNIDAD OBRERA,RAMAL-URONES,1449,100.0,0.23,Corrientes,POLITICA OBRERA
144,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1358,100.0,0.21,Corrientes,MOVIMIENTO DE ACCION VECINAL
145,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,969,100.0,0.15,Corrientes,FRENTE PATRIOTA FEDERAL
146,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,41,50.0,0.01,Corrientes,FRENTE LIBER.AR
147,A- DEMOS,ETCHEPARE-LORENZO,34,41.46,0.01,Corrientes,FRENTE LIBER.AR
148,B- RECONQUISTA,VASENA-LAGONEGRO,7,8.53,0.01,Corrientes,FRENTE LIBER.AR
149,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,56,74.66,0.01,Corrientes,PROYECTO JOVEN
150,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,16,21.33,0.01,Corrientes,PROYECTO JOVEN
151,C- TODEX,IBAÑEZ-IBARRA,3,4.0,0.01,Corrientes,PROYECTO JOVEN
152,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,43,100.0,0.01,Corrientes,UNION DEL CENTRO DEMOCRATICO
153,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,688684,100.0,33.61,Cordoba,LA LIBERTAD AVANZA
154,A- HACEMOS,SCHIARETTI-RANDAZZO,564182,100.0,27.53,Cordoba,HACEMOS POR NUESTRO PAIS
155,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,384685,74.63,18.77,Cordoba,JUNTOS POR EL CAMBIO
156,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,130771,25.36,6.38,Cordoba,JUNTOS POR EL CAMBIO
157,A- CELESTE Y BLANCA,MASSA-ROSSI,126219,71.09,6.16,Cordoba,UNION POR LA PATRIA
158,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,51309,28.9,2.5,Cordoba,UNION POR LA PATRIA
159,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,19752,63.43,0.96,Cordoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
160,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,11383,36.56,0.55,Cordoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
161,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,10419,75.58,0.5,Cordoba,PRINCIPIOS Y VALORES
162,2B- TRANSFORMAR,MARTINEZ-SOUTO,1934,14.03,0.09,Cordoba,PRINCIPIOS Y VALORES
163,5E- LABORISTA,ARIAS-VERA,1431,10.38,0.06,Cordoba,PRINCIPIOS Y VALORES
164,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,4565,100.0,0.22,Cordoba,MOVIMIENTO LIBRES DEL SUR
165,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,3893,100.0,0.19,Cordoba,MOVIMIENTO AL SOCIALISMO
166,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,2144,58.98,0.1,Cordoba,PROYECTO JOVEN
167,C- TODEX,IBAÑEZ-IBARRA,760,20.9,0.03,Cordoba,PROYECTO JOVEN
168,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,731,20.11,0.03,Cordoba,PROYECTO JOVEN
169,B- CONFEDERAL,CÚNEO-BARRANCO,2404,70.43,0.11,Cordoba,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
170,A- DIGNIDAD,CASTELLS-REINOSO,1009,29.56,0.04,Cordoba,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
171,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,1564,50.84,0.07,Cordoba,FRENTE LIBER.AR
172,A- DEMOS,ETCHEPARE-LORENZO,1512,49.15,0.07,Cordoba,FRENTE LIBER.AR
173,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,2867,100.0,0.13,Cordoba,FRENTE PATRIOTA FEDERAL
174,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,2471,100.0,0.12,Cordoba,MOVIMIENTO DE ACCION VECINAL
175,A- UNIDAD OBRERA,RAMAL-URONES,2123,100.0,0.1,Cordoba,POLITICA OBRERA
176,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,61,100.0,0.01,Cordoba,UNION DEL CENTRO DEMOCRATICO
177,B- LA FUERZA DEL CAMBIO,BULLRICH-PETRI,166823,64.84,20.82,Entre Rios,JUNTOS POR EL CAMBIO
178,A- EL CAMBIO DE NUESTRAS VIDAS,RODRIGUEZ LARRETA-MORALES,90440,35.15,11.28,Entre Rios,JUNTOS POR EL CAMBIO
179,A- CELESTE Y BLANCA,MASSA-ROSSI,180436,77.58,22.52,Entre Rios,UNION POR LA PATRIA
180,B- JUSTA Y SOBERANA,GRABOIS-ABAL MEDINA,52134,22.41,6.5,Entre Rios,UNION POR LA PATRIA
181,A- LIBERTAD POR SIEMPRE,MILEI-VILLARRUEL,176164,100.0,21.98,Entre Rios,LA LIBERTAD AVANZA
182,A- UNIR Y FORTALECER LA IZQUIERDA,BREGMAN-DEL CAÑO,5671,56.5,0.7,Entre Rios,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
183,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,4365,43.49,0.54,Entre Rios,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
184,A- HACEMOS,SCHIARETTI-RANDAZZO,9425,100.0,1.17,Entre Rios,HACEMOS POR NUESTRO PAIS
185,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,4767,97.26,0.59,Entre Rios,PRINCIPIOS Y VALORES
186,2B- TRANSFORMAR,MARTINEZ-SOUTO,48,0.97,0.01,Entre Rios,PRINCIPIOS Y VALORES
187,3C- TRES BANDERAS,OLIVER-SAN MARTIN,39,0.79,0.01,Entre Rios,PRINCIPIOS Y VALORES
188,5E- LABORISTA,ARIAS-VERA,32,0.65,0.01,Entre Rios,PRINCIPIOS Y VALORES
189,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,15,0.3,0.01,Entre Rios,PRINCIPIOS Y VALORES
190,B- CONFEDERAL,CÚNEO-BARRANCO,1343,59.55,0.16,Entre Rios,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
191,A- DIGNIDAD,CASTELLS-REINOSO,912,40.44,0.11,Entre Rios,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
192,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,1885,100.0,0.23,Entre Rios,MOVIMIENTO AL SOCIALISMO
193,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,1643,100.0,0.2,Entre Rios,FRENTE PATRIOTA FEDERAL
194,A- UNIDAD OBRERA,RAMAL-URONES,1477,100.0,0.18,Entre Rios,POLITICA OBRERA
195,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,1456,100.0,0.18,Entre Rios,MOVIMIENTO LIBRES DEL SUR
