,Lista,Candidatos,Votos,perc_interna,percAbs,Name,Partido
603,B- UNIDAD DE LUCHADORES Y LA IZQUIERDA,SOLANO-RIPOLL,5911,36.87,0.62,Tucuman,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
604,A- AZUL Y ROJO,ESCOBAR-LEZAMA HID,15445,100.0,1.62,Tucuman,MOVIMIENTO LIBRES DEL SUR
605,A- HACEMOS,SCHIARETTI-RANDAZZO,11302,100.0,1.18,Tucuman,HACEMOS POR NUESTRO PAIS
606,A- UNIDAD OBRERA,RAMAL-URONES,3349,100.0,0.35,Tucuman,POLITICA OBRERA
607,A- DIGNIDAD,CASTELLS-REINOSO,1625,50.7,0.17,Tucuman,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
608,B- CONFEDERAL,CÚNEO-BARRANCO,1580,49.29,0.16,Tucuman,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD
609,A- IZQUIERDA ANTICAPITALISTA,CASTAÑEIRA-RUIZ,2971,100.0,0.31,Tucuman,MOVIMIENTO AL SOCIALISMO
610,A- PRIMERO LA PATRIA,BIONDINI-AVENDAÑO,2889,100.0,0.3,Tucuman,FRENTE PATRIOTA FEDERAL
611,"1A- TIERRA, TECHO  Y TRABAJO",MORENO-FABRE,1956,93.18,0.2,Tucuman,PRINCIPIOS Y VALORES
612,2B- TRANSFORMAR,MARTINEZ-SOUTO,66,3.14,0.01,Tucuman,PRINCIPIOS Y VALORES
613,5E- LABORISTA,ARIAS-VERA,51,2.42,0.01,Tucuman,PRINCIPIOS Y VALORES
614,3C- TRES BANDERAS,OLIVER-SAN MARTIN,16,0.76,0.01,Tucuman,PRINCIPIOS Y VALORES
615,4D- GENTE DE TRABAJO,BARTOLINI-GOMEZ,10,0.47,0.01,Tucuman,PRINCIPIOS Y VALORES
616,A- COMPROMISO VECINAL,ALBARRACIN-PASTORE,1972,100.0,0.2,Tucuman,MOVIMIENTO DE ACCION VECINAL
617,C- ANTICORRUPCIÓN,BARBARO-PUCHETA,286,55.64,0.03,Tucuman,FRENTE LIBER.AR
618,B- RECONQUISTA,VASENA-LAGONEGRO,138,26.84,0.01,Tucuman,FRENTE LIBER.AR
619,A- DEMOS,ETCHEPARE-LORENZO,90,17.5,0.01,Tucuman,FRENTE LIBER.AR
620,A- COALICION PAZ DEMOCRACIA SOBERANIA,GIARDINELLI-SOLERNOU,23,50.0,0.01,Tucuman,PROYECTO JOVEN
621,C- TODEX,IBAÑEZ-IBARRA,17,36.95,0.01,Tucuman,PROYECTO JOVEN
622,B- PATRIA UNIDA,AYERBE-RODRIGUEZ,6,13.04,0.01,Tucuman,PROYECTO JOVEN
623,A- APERTURA LIBERAL ARGENTINA,PASSAMONTI-FERNANDEZ,33,100.0,0.01,Tucuman,UNION DEL CENTRO DEMOCRATICO
