Agrupación Política,Lista,Distrito,Subcategoría Cargo,Posición,Precandidato,Género,Edad,Age_Bin,Age_Range
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,TITULARES,1,RAMONA SOLEDAD IBARRA,F,38,1,35-40
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,TITULARES,2,LEONARDO JAVIER CRUCIANELLI,M,47,3,46-51
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,SUPLENTES,1,TAMARA NOEMI HOLLOMBACH,F,32,0,30-35
PARTIDO LABORISTA,REFUNDACION,BUENOS AIRES,SUPLENTES,2,MATIAS GABRIEL ORTELLADO,M,32,0,30-35
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,TITULARES,1,LUIS CARLOS DEL ROSARIO RAMIREZ,M,60,5,56-61
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,TITULARES,2,VIVIANA BEATRIZ LOPEZ,F,32,0,30-35
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,SUPLENTES,1,UBALDO MUÑOZ,M,67,7,66-72
PARTIDO LABORISTA,VOLVER A LAS FUENTES,BUENOS AIRES,SUPLENTES,2,NATALIA PAMELA PATEL,F,34,0,30-35
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,TITULARES,1,SILVIA BEATRIZ GARCIA,F,58,5,56-61
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,TITULARES,2,GUILLERMO AMERICO AGUIRRE,M,36,1,35-40
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SUPLENTES,1,CLARA LUJAN CARBONE PAZ,F,56,4,51-56
PARTIDO LIBERTARIO,LIBERTARIOS,BUENOS AIRES,SUPLENTES,2,RODRIGO SEBASTIAN MEDRANO,M,32,0,30-35
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,BUENOS AIRES,TITULARES,1,FERNANDO JORGE DI FILIPPO,M,70,7,66-72
PARTIDO MOVIMIENTO ORGANIZACION DEMOCRATICA (MODE),UNIDAD,BUENOS AIRES,TITULARES,2,AGUSTINA YOLANDA VALDEZ,F,77,9,77-82
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,TITULARES,1,ROBERTO EDUARDO DAMBORIANA,M,71,7,66-72
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,TITULARES,2,VERONICA ALEJANDRA DEOTO,F,48,3,46-51
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SUPLENTES,1,CRISTIAN GABRIEL CONTURIER,M,49,3,46-51
PARTIDO PRINCIPIOS Y VALORES,FUERZA FEDERAL,BUENOS AIRES,SUPLENTES,2,LUCIA FLORENCIA MIÑO,F,36,1,35-40
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,TITULARES,1,ANDREA NATALIA MELO,F,37,1,35-40
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,TITULARES,2,CARLOS ANTONIO DUARTE,M,70,7,66-72
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SUPLENTES,1,KARINA GISELA GELVES,F,35,0,30-35
PARTIDO PRINCIPIOS Y VALORES,TIERRA TECHO Y TRABAJO,BUENOS AIRES,SUPLENTES,2,ADRIÁN POSE,M,49,3,46-51
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,TITULARES,1,CLAUDIO SERGIO MILILLO,M,53,4,51-56
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,TITULARES,2,MERCEDES BEATRIZ DIAZ,F,49,3,46-51
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SUPLENTES,1,ALEJANDRO ROBERTO SALINAS,M,60,5,56-61
PARTIDO UNIDAD SOCIAL (PUS),UNIDOS,BUENOS AIRES,SUPLENTES,2,TAMARA SOLEDAD MONTES,F,33,0,30-35
PARTIDO VOCACION SOCIAL,VALORES Y SOLIDARIDAD,BUENOS AIRES,TITULARES,1,NAHUEL BECHARA ARCURI,M,30,0,30-35
